quote,author,tags
"“women and cats will do as they please, and men and dogs should relax and get used to the idea.”",Robert A. Heinlein,['general']
“sometimes the questions are complicated and the answers are simple.”,Dr. Seuss,['general']
"“you may not be her first, her last, or her only. she loved before she may love again. but if she loves you now, what else matters? she's not perfectâ€”you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. she may not be thinking about you every second of the day, but she will give you a part of her that she knows you can breakâ€”her heart. so don't hurt her, don't change her, don't analyze and don't expect more than she can give. smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",Bob Marley,['general']
“never trust anyone who has not brought a book with them.”,"Lemony Snicket,",['general']
"“you love me. real or not real?""i tell him, ""real.”","Suzanne Collins,",['general']
“you can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,['general']
“we read to know we're not alone.”,"William Nicholson,",['general']
"“sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book.”","John Green,",['general']
“all you need is love. but a little chocolate now and then doesn't hurt.”,Charles M. Schulz,['general']
"“of course it is happening inside your head, harry, but why on earth should that mean that it is not real?”","J.K. Rowling,",['general']
“beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson,['general']
“life isn't about finding yourself. life is about creating yourself.”,George Bernard Shaw,['general']
"“today you are you, that is truer than true. there is no one alive who is youer than you.”","Dr. Seuss,",['general']
"“to the well-organized mind, death is but the next great adventure.”","J.K. Rowling,",['general']
“i'm not afraid of death; i just don't want to be there when it happens.”,Woody Allen,['general']
"“if one cannot enjoy reading a book over and over again, there is no use in reading it at all.”",Oscar Wilde,['general']
"“if you want your children to be intelligent, read them fairy tales. if you want them to be more intelligent, read them more fairy tales.”",Albert Einstein,['general']
"“have you fallen in love with the wrong person yet?'jace said, ""unfortunately, lady of the haven, my one true love remains myself.""...""at least,"" she said, ""you don't have to worry about rejection, jace wayland.""""not necessarily. i turn myself down occasionally, just to keep it interesting.”","Cassandra Clare,",['general']
“logic will get you from a to z; imagination will get you everywhere.”,Albert Einstein,['general']
"“i'm in love with you,"" he said quietly.""augustus,"" i said.""i am,"" he said. he was staring at me, and i could see the corners of his eyes crinkling. ""i'm in love with you, and i'm not in the business of denying myself the simple pleasure of saying true things. i'm in love with you, and i know that love is just a shout into the void, and that oblivion is inevitable, and that we're all doomed and that there will come a day when all our labor has been returned to dust, and i know the sun will swallow the only earth we'll ever have, and i am in love with you.”","John Green,",['general']
